"Year","Month","Date","MEI","Phase"
1990,"FM",1990-03-01,0.47,"Neutral Phase"
1991,"FM",1991-03-01,0.21,"Neutral Phase"
1992,"FM",1992-03-01,1.69,"Warm Phase/El Nino"
1993,"FM",1993-03-01,0.85,"Warm Phase/El Nino"
1994,"FM",1994-03-01,-0.02,"Neutral Phase"
1995,"FM",1995-03-01,0.21,"Neutral Phase"
1996,"FM",1996-03-01,-0.63,"Cool Phase/La Nina"
1997,"FM",1997-03-01,-0.41,"Neutral Phase"
1998,"FM",1998-03-01,2.26,"Warm Phase/El Nino"
1999,"FM",1999-03-01,-1.04,"Cool Phase/La Nina"
2000,"FM",2000-03-01,-1.38,"Cool Phase/La Nina"
2001,"FM",2001-03-01,-0.75,"Cool Phase/La Nina"
2002,"FM",2002-03-01,-0.26,"Neutral Phase"
2003,"FM",2003-03-01,0.57,"Warm Phase/El Nino"
2004,"FM",2004-03-01,-0.5,"Cool Phase/La Nina"
2005,"FM",2005-03-01,0.75,"Warm Phase/El Nino"
2006,"FM",2006-03-01,-0.58,"Cool Phase/La Nina"
2007,"FM",2007-03-01,-0.13,"Neutral Phase"
2008,"FM",2008-03-01,-1.57,"Cool Phase/La Nina"
2009,"FM",2009-03-01,-0.89,"Cool Phase/La Nina"
2010,"FM",2010-03-01,1.28,"Warm Phase/El Nino"
2011,"FM",2011-03-01,-1.82,"Cool Phase/La Nina"
2012,"FM",2012-03-01,-0.56,"Cool Phase/La Nina"
2013,"FM",2013-03-01,-0.17,"Neutral Phase"
2014,"FM",2014-03-01,-0.19,"Neutral Phase"
2015,"FM",2015-03-01,0.06,"Neutral Phase"
2016,"FM",2016-03-01,1.3,"Warm Phase/El Nino"
2017,"FM",2017-03-01,-0.47,"Neutral Phase"
2018,"FM",2018-03-01,-0.92,"Cool Phase/La Nina"
2019,"FM",2019-03-01,0.71,"Warm Phase/El Nino"
2020,"FM",2020-03-01,0.09,"Neutral Phase"
2021,"FM",2021-03-01,-0.81,"Cool Phase/La Nina"
2022,"FM",2022-03-01,-1.28,"Cool Phase/La Nina"
2023,"FM",2023-03-01,NA,NA
1979,"MA",1979-04-01,0.26,"Neutral Phase"
1980,"MA",1980-04-01,0.85,"Warm Phase/El Nino"
